siret,x,y,qualite_xy,epsg,plg_qp,plg_iris,plg_zus,plg_zfu,plg_qva,plg_code_commune,distance_precision,qualite_qp,qualite_iris,qualite_zus,qualite_zfu,qualite_qva,y_latitude,x_longitude,siren,siret:1,trancheEffectifsEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,adresse,Activité,Groupe,trancheEffectifsEtablissementValeur
80144024900028,832877.9,6551577.85,11,2154,CSZ,CSZ,CSZ,CSZ,CSZ,69206,,,,,,,46.050948606,"4.7186518934
",801440249,80144024900028,12,22.23Z,NAFRev2,,101,,DE FONTACHON,69830,SAINT-GEORGES-DE-RENEINS,69206,,,"101 DE FONTACHON 69830 SAINT-GEORGES-DE-RENEINS 69206
",fabrication dâ€™Ã©lÃ©ments en matiÃ¨res plastiques pour la constructio,Fabrication de produits en caoutchouc et en plastique ainsi que dâ€™autres produits minÃ©raux non mÃ©talliques,35
80145739100010,809448.72,6485422.04,11,2154,HZ,0901,HZ,HZ,HZ,42218,,1,1,1,1,1,45.459507581,"4.4005135522
",801457391,80145739100010,02,25.61Z,NAFRev2,ZI MONTREYNAUD,4,,VICTOR BASCH,42000,SAINT-ETIENNE,42218,,,"ZI MONTREYNAUD 4 VICTOR BASCH 42000 SAINT-ETIENNE 42218
",traitement et revÃªtement des mÃ©tau,MÃ©tallurgie et fabrication de produits mÃ©talliques Ã  lâ€™exception des machines et des Ã©quipements,4
80149111900013,840612.22,6517149.96,11,2154,CSZ,0301,CSZ,CSZ,CSZ,69202,,,1,,,,45.739450301,"4.8084572795
",801491119,80149111900013,01,32.13Z,NAFRev2,,130,,DES FONTANIERES,69110,SAINTE-FOY-LES-LYON,69202,,,"130 DES FONTANIERES 69110 SAINTE-FOY-LES-LYON 69202
",fabrication dâ€˜articles de bijouterie fantaisie et articles similaire,Autres industries manufacturiÃ¨res : rÃ©paration et installation de machines et dâ€™Ã©quipements,2
80149873400012,799080.57,6478010.12,11,2154,CSZ,0103,CSZ,CSZ,HZ,42316,,,1,,,1,45.394352374,"4.2663450355
",801498734,80149873400012,03,32.50A,NAFRev2,,1,,JEAN BAPTISTE BOUSSINGAULT,42240,UNIEUX,42316,,,"1 JEAN BAPTISTE BOUSSINGAULT 42240 UNIEUX 42316
",fabrication de matÃ©riel mÃ©dico-chirurgical et dentair,Autres industries manufacturiÃ¨res : rÃ©paration et installation de machines et dâ€™Ã©quipements,8
80150001800032,813795.2,6485157.09,11,2154,CSZ,0103,CSZ,CSZ,CSZ,42237,,,1,,,,45.456414295,"4.4560565407
",801500018,80150001800032,12,20.16Z,NAFRev2,BATIMENT 5,,,PARC TECHNOLOGIQUE METROTECH,42650,SAINT-JEAN-BONNEFONDS,42237,,,"BATIMENT 5 PARC TECHNOLOGIQUE METROTECH 42650 SAINT-JEAN-BONNEFONDS 42237
",fabrication de matiÃ¨res plastiques de bas,Industrie chimique,35
80150223800018,844047.1,6517516.2,11,2154,HZ,0403,HZ,CSZ,HZ,69387,,1,1,1,,1,45.742030357,"4.8527288163
",801502238,80150223800018,00,23.70Z,NAFRev2,RESIDENCE LE SERAPHIN,70,,DU REPOS,69007,LYON 7EME,69387,,,"RESIDENCE LE SERAPHIN 70 DU REPOS 69007 LYON 7EME 69387
","taille, faÃ§onnage et finissage de pierre",Fabrication de produits en caoutchouc et en plastique ainsi que dâ€™autres produits minÃ©raux non mÃ©talliques,0
80150223800026,844515.04,6517323.07,11,2154,HZ,0105,HZ,CSZ,CSZ,69388,,1,1,1,,,45.740192707,"4.8586867645
",801502238,80150223800026,02,23.70Z,NAFRev2,,227,,BERTHELOT,69008,LYON 8EME,69388,,,"227 BERTHELOT 69008 LYON 8EME 69388
","taille, faÃ§onnage et finissage de pierre",Fabrication de produits en caoutchouc et en plastique ainsi que dâ€™autres produits minÃ©raux non mÃ©talliques,4
80153281300012,819749.9,6487253,11,2154,HZ,0303,CSZ,CSZ,8242016,42207,,1,1,,,1,45.474269084,"4.5327512317
",801532813,80153281300012,02,10.71C,NAFRev2,,1,,DE L ILE DE FRANCE,42400,SAINT-CHAMOND,42207,,,"1 DE L ILE DE FRANCE 42400 SAINT-CHAMOND 42207
",boulangerie et boulangerie-pÃ¢tisseri,"Fabrication de denrÃ©es alimentaires, de boissons et de produits Ã  base de tabac",4
80164680300016,779350,6516550,12,2154,CSZ,CSZ,CSZ,CSZ,CSZ,42019,874.64278423,,,,,,45.743930393,"4.0205667977
",801646803,80164680300016,01,38.32Z,NAFRev2,,,,CHAMPBAYARD,42130,BOEN-SUR-LIGNON,42019,,,"CHAMPBAYARD 42130 BOEN-SUR-LIGNON 42019
",rÃ©cupÃ©ration de dÃ©chets triÃ©,"Production et distribution dâ€™Ã©lectricitÃ©, de gaz et dâ€™eau : gestion des dÃ©chets",2
80165082100011,844314.4,6520110.1,11,2154,CSZ,0603,CSZ,CSZ,CSZ,69386,,,1,,,,45.765325141,"4.8569499945
",801650821,80165082100011,01,10.71C,NAFRev2,,56,,DES BROTTEAUX,69006,LYON 6EME,69386,,,"56 DES BROTTEAUX 69006 LYON 6EME 69386
",boulangerie et boulangerie-pÃ¢tisseri,"Fabrication de denrÃ©es alimentaires, de boissons et de produits Ã  base de tabac",2
80172189500010,837660.19,6524536.19,11,2154,CSZ,CSZ,CSZ,CSZ,CSZ,69116,,,,,,,45.806548133,"4.772635413
",801721895,80172189500010,00,32.12Z,NAFRev2,PARC VALAD,1,,DES VERGERS,69760,LIMONEST,69116,,,"PARC VALAD 1 DES VERGERS 69760 LIMONEST 69116
",fabrication dâ€™article de joaillerie et bijouteri,Autres industries manufacturiÃ¨res : rÃ©paration et installation de machines et dâ€™Ã©quipements,0
80177906700025,845942.42,6516434.34,11,2154,HZ,0404,HZ,CSZ,CSZ,69388,,1,1,1,,,45.731888048,"4.8767665714
",801779067,80177906700025,03,26.11Z,NAFRev2,,13,,EDMOND MICHELET,69008,LYON 8EME,69388,,,"13 EDMOND MICHELET 69008 LYON 8EME 69388
",fabrication de composants Ã©lectronique,"Fabrication de produits informatiques, Ã©lectroniques et optiques",8
80185051200014,845612.3,6520370.5,11,2154,HZ,1201,HZ,HZ,CSZ,69266,,1,1,1,1,,45.767393292,"4.8737238367
",801850512,80185051200014,02,10.71B,NAFRev2,,53,,ANATOLE FRANCE,69100,VILLEURBANNE,69266,,,"53 ANATOLE FRANCE 69100 VILLEURBANNE 69266
",cuisson de produits de boulangeri,"Fabrication de denrÃ©es alimentaires, de boissons et de produits Ã  base de tabac",4
80192713800017,854591.39,6521546.49,11,2154,HZ,0102,HZ,CSZ,HZ,69282,,1,1,1,,1,45.776002008,"4.9895995682
",801927138,80192713800017,02,10.71C,NAFRev2,,66,,DU CARREAU,69330,MEYZIEU,69282,,,"66 DU CARREAU 69330 MEYZIEU 69282
",boulangerie et boulangerie-pÃ¢tisseri,"Fabrication de denrÃ©es alimentaires, de boissons et de produits Ã  base de tabac",4
80192727800011,822634.22,6467386.4,21,2154,CSZ,CSZ,CSZ,CSZ,CSZ,42023,,,,,,,45.29490509,"4.5646218788
",801927278,80192727800011,02,16.23Z,NAFRev2,,,,Z.A. LA GARE BURDIGNES,42220,BOURG-ARGENTAL,42023,,,"Z.A. LA GARE BURDIGNES 42220 BOURG-ARGENTAL 42023
",fabrication de charpentes et dâ€™autres menuiserie,"Travail du bois, industries du papier et imprimerie",4
80198336200014,784153.58,6496854.28,11,2154,CSZ,CSZ,CSZ,CSZ,CSZ,42290,,,,,,,45.566014691,"4.0788800374
",801983362,80198336200014,01,33.12Z,NAFRev2,,144,,DES CARRIERES,42600,SAINT-THOMAS-LA-GARDE,42290,,,"144 DES CARRIERES 42600 SAINT-THOMAS-LA-GARDE 42290
",rÃ©paration de machines et Ã©quipements mÃ©canique,Autres industries manufacturiÃ¨res : rÃ©paration et installation de machines et dâ€™Ã©quipements,2
80199927700016,844415.76,6518788.51,11,2154,HZ,0302,HZ,CSZ,CSZ,69383,,1,1,1,,,45.753406199,"4.8578537172
",801999277,80199927700016,03,10.71B,NAFRev2,IMMEUBLE BE,92,,FELIX FAURE,69003,LYON 3EME,69383,,,"IMMEUBLE BE 92 FELIX FAURE 69003 LYON 3EME 69383
",cuisson de produits de boulangeri,"Fabrication de denrÃ©es alimentaires, de boissons et de produits Ã  base de tabac",8
80212412300018,784950,6499750,12,2154,HZ,0201,CSZ,CSZ,CSZ,42147,3350.3731136,1,2,,,,45.591989009,"4.0896013907
",802124123,80212412300018,03,10.71C,NAFRev2,ZA DES GRANGES,,,DE SAINT ETIENNE,42600,MONTBRISON,42147,,,"ZA DES GRANGES DE SAINT ETIENNE 42600 MONTBRISON 42147
",boulangerie et boulangerie-pÃ¢tisseri,"Fabrication de denrÃ©es alimentaires, de boissons et de produits Ã  base de tabac",8
80216141400023,808788.79,6480581.48,11,2154,HZ,2204,HZ,HZ,HZ,42218,,1,1,1,1,1,45.41603216,"4.3909797882
",802161414,80216141400023,02,11.05Z,NAFRev2,,15,,BUFFON,42100,SAINT-ETIENNE,42218,,,"15 BUFFON 42100 SAINT-ETIENNE 42218
",fabrication de biÃ¨r,"Fabrication de denrÃ©es alimentaires, de boissons et de produits Ã  base de tabac",4
80219078500013,846438,6524656,11,2154,HZ,0102,HZ,HZ,HZ,69286,,1,1,1,1,1,45.805795863,"4.8856614807
",802190785,80219078500013,02,10.71C,NAFRev2,,35,,DE GENEVE,69140,RILLIEUX-LA-PAPE,69286,,,"35 DE GENEVE 69140 RILLIEUX-LA-PAPE 69286
",boulangerie et boulangerie-pÃ¢tisseri,"Fabrication de denrÃ©es alimentaires, de boissons et de produits Ã  base de tabac",4
80222505200025,808988.84,6486649.64,11,2154,QP042013,1802,8211030,82110ZF,HZ,42218,,1,1,1,1,1,45.470633226,"4.3949075899
",802225052,80222505200025,01,32.50A,NAFRev2,,2,,GIACOMO PUCCINI,42000,SAINT-ETIENNE,42218,,,"2 GIACOMO PUCCINI 42000 SAINT-ETIENNE 42218
",fabrication de matÃ©riel mÃ©dico-chirurgical et dentair,Autres industries manufacturiÃ¨res : rÃ©paration et installation de machines et dâ€™Ã©quipements,2
80225385600016,859550,6519850,11,2154,CSZ,CSZ,CSZ,CSZ,CSZ,69285,70.710678119,,,,,,45.759587477,"5.0528213375
",802253856,80225385600016,01,10.71B,NAFRev2,CENTRE COMMERCIAL DES 3 VOIES,,,DE GENAS,69330,PUSIGNAN,69285,,,"CENTRE COMMERCIAL DES 3 VOIES DE GENAS 69330 PUSIGNAN 69285
",cuisson de produits de boulangeri,"Fabrication de denrÃ©es alimentaires, de boissons et de produits Ã  base de tabac",2
80226625400019,853137.02,6517656.09,11,2154,CSZ,0102,CSZ,CSZ,CSZ,69271,,,1,,,,45.741308712,"4.9696408734
",802266254,80226625400019,11,10.71C,NAFRev2,,37,,DE LA REPUBLIQUE,69680,CHASSIEU,69271,,,"37 DE LA REPUBLIQUE 69680 CHASSIEU 69271
",boulangerie et boulangerie-pÃ¢tisseri,"Fabrication de denrÃ©es alimentaires, de boissons et de produits Ã  base de tabac",15
80229381100039,842190.9,6519277.8,11,2154,CSZ,0202,CSZ,CSZ,CSZ,69382,,,1,,,,45.758278725,"4.8293878656
",802293811,80229381100039,01,15.12Z,NAFRev2,,10,,DU PLAT,69002,LYON 2EME,69382,,,"10 DU PLAT 69002 LYON 2EME 69382
","fabrication dâ€™articles de voyage, de maroquinerie et de selleri","Fabrication de textiles, industries de lâ€™habillement, industrie du cuir et de la chaussure",2
80230961700016,849748.32,6513686.36,11,2154,HZ,0701,HZ,CSZ,HZ,69290,,1,1,1,,1,45.706325119,"4.9248286696
",802309617,80230961700016,12,38.21Z,NAFRev2,,42,,DE REVAISON,69800,SAINT-PRIEST,69290,,,"42 DE REVAISON 69800 SAINT-PRIEST 69290
",traitement et Ã©limination des dÃ©chets non dangereu,"Production et distribution dâ€™Ã©lectricitÃ©, de gaz et dâ€™eau : gestion des dÃ©chets",35
80231020100016,843040.1,6518864.4,11,2154,HZ,0101,HZ,CSZ,HZ,69387,,1,1,1,,1,45.754379441,"4.8401855613
",802310201,80231020100016,02,10.71D,NAFRev2,,8,,D AGUESSEAU,69007,LYON 7EME,69387,,,"8 D AGUESSEAU 69007 LYON 7EME 69387
",pÃ¢tisseri,"Fabrication de denrÃ©es alimentaires, de boissons et de produits Ã  base de tabac",4
80231757800028,842392.3,6519807.4,11,2154,CSZ,0102,CSZ,CSZ,CSZ,69382,,,1,,,,45.763004386,"4.8321361588
",802317578,80231757800028,01,10.51D,NAFRev2,,20,,SAINT ANTOINE,69002,LYON 2EME,69382,,,"20 SAINT ANTOINE 69002 LYON 2EME 69382
",fabrication dâ€™autres produits laitier,"Fabrication de denrÃ©es alimentaires, de boissons et de produits Ã  base de tabac",2
80232467300036,808210.62,6487035.83,11,2154,CSZ,0101,CSZ,CSZ,CSZ,42275,,,1,,,,45.474233535,"4.3850361801
",802324673,80232467300036,12,17.29Z,NAFRev2,,6,,LEO LAGRANGE,42270,SAINT-PRIEST-EN-JAREZ,42275,,,"6 LEO LAGRANGE 42270 SAINT-PRIEST-EN-JAREZ 42275
",fabrication dâ€™autres articles en papier ou en carto,"Travail du bois, industries du papier et imprimerie",35
80239204300039,841004.13,6511597.77,11,2154,HZ,0202,CSZ,CSZ,HZ,69204,,1,1,,,1,45.689385848,"4.8118577506
",802392043,80239204300039,02,22.29B,NAFRev2,PARC D ACTIVITE DE CHAPOLY,1,,DE CHAPOLY,69230,SAINT-GENIS-LAVAL,69204,,,"PARC D ACTIVITE DE CHAPOLY 1 DE CHAPOLY 69230 SAINT-GENIS-LAVAL 69204
",fabrication de produits de consommation courante en matiÃ¨res plastique,Fabrication de produits en caoutchouc et en plastique ainsi que dâ€™autres produits minÃ©raux non mÃ©talliques,4
80241467200013,812130.66,6484131.56,11,2154,CSZ,0102,CSZ,CSZ,CSZ,42237,,,1,,,,45.447455672,"4.4345244213
",802414672,80241467200013,02,10.71C,NAFRev2,,24,,VICTOR HUGO,42650,SAINT-JEAN-BONNEFONDS,42237,,,"24 VICTOR HUGO 42650 SAINT-JEAN-BONNEFONDS 42237
",boulangerie et boulangerie-pÃ¢tisseri,"Fabrication de denrÃ©es alimentaires, de boissons et de produits Ã  base de tabac",4
80252160900015,812095.63,6482575.61,11,2154,HZ,1902,HZ,HZ,HZ,42218,,1,1,1,1,1,45.433453012,"4.4337149816
",802521609,80252160900015,01,27.11Z,NAFRev2,,7,,MATHIEU MURGUE,42100,SAINT-ETIENNE,42218,,,"7 MATHIEU MURGUE 42100 SAINT-ETIENNE 42218
","fabrication de moteurs, gÃ©nÃ©ratrices et transformateurs Ã©lectrique",Fabrication dâ€™Ã©quipements Ã©lectriques,2
80262055900012,812847.04,6487586.27,11,2154,CSZ,0101,CSZ,CSZ,CSZ,42302,,,1,,,,45.478441275,"4.4444956991
",802620559,80262055900012,03,10.39B,NAFRev2,,3,,JEAN BERTHON,42290,SORBIERS,42302,,,"3 JEAN BERTHON 42290 SORBIERS 42302
",transformation et conservation de fruit,"Fabrication de denrÃ©es alimentaires, de boissons et de produits Ã  base de tabac",8
80264697600026,854630.79,6507993.27,11,2154,CSZ,CSZ,CSZ,CSZ,CSZ,69298,,,,,,,45.653986903,"4.9857208384
",802646976,80264697600026,01,10.71C,NAFRev2,,8,,DE LA MAIRIE,69780,TOUSSIEU,69298,,,"8 DE LA MAIRIE 69780 TOUSSIEU 69298
",boulangerie et boulangerie-pÃ¢tisseri,"Fabrication de denrÃ©es alimentaires, de boissons et de produits Ã  base de tabac",2
80266906900014,856220.5,6516570.05,11,2154,CSZ,0103,CSZ,CSZ,CSZ,69277,,,1,,,,45.730832725,"5.0089281907
",802669069,80266906900014,02,32.50A,NAFRev2,1 A,1,A,EDITH PIAF,69740,GENAS,69277,,,"1 A 1 A A EDITH PIAF 69740 GENAS 69277
",fabrication de matÃ©riel mÃ©dico-chirurgical et dentair,Autres industries manufacturiÃ¨res : rÃ©paration et installation de machines et dâ€™Ã©quipements,4
80273658700014,818850,6513150,12,2154,CSZ,CSZ,CSZ,CSZ,CSZ,69138,570.08771255,,,,,,45.707578582,"4.5276477562
",802736587,80273658700014,03,28.99B,NAFRev2,MONTROCIER,,,LE BOURG,69610,MONTROMANT,69138,,,"MONTROCIER LE BOURG 69610 MONTROMANT 69138
",fabrication dâ€™autres machines spÃ©cialisÃ©e,Fabrication de machines et Ã©quipements n.c.a.,8
80273872400029,842050,6502250,33,2154,CSZ,CSZ,CSZ,CSZ,CSZ,69272,,,,,,,45.605016496,"4.8225202003
",802738724,80273872400029,11,38.11Z,NAFRev2,,,,ZAC DU VAL DE CHARVAS,69360,COMMUNAY,69272,,,"ZAC DU VAL DE CHARVAS 69360 COMMUNAY 69272
",collecte des dÃ©chets non dangereu,"Production et distribution dâ€™Ã©lectricitÃ©, de gaz et dâ€™eau : gestion des dÃ©chets",15
80273948200015,836655.21,6520494.78,11,2154,CSZ,CSZ,CSZ,CSZ,CSZ,69044,,,,,,,45.77036708,"4.758539904
",802739482,80273948200015,02,20.42Z,NAFRev2,,9,,DES RIVIERES,69260,CHARBONNIERES-LES-BAINS,69044,,,"9 DES RIVIERES 69260 CHARBONNIERES-LES-BAINS 69044
",fabrication de parfums et de produits pour la toilett,Industrie chimique,4
80276132000018,773582.85,6477270.13,11,2154,CSZ,CSZ,CSZ,CSZ,CSZ,42318,,,,,,,45.390897845,"3.9403831608
",802761320,80276132000018,01,10.71C,NAFRev2,,25,,NATIONALE,42550,USSON-EN-FOREZ,42318,,,"25 NATIONALE 42550 USSON-EN-FOREZ 42318
",boulangerie et boulangerie-pÃ¢tisseri,"Fabrication de denrÃ©es alimentaires, de boissons et de produits Ã  base de tabac",2
80276838200011,838446.6,6516542.3,11,2154,CSZ,0103,CSZ,CSZ,CSZ,69202,,,1,,,,45.734422944,"4.7804378958
",802768382,80276838200011,02,10.71B,NAFRev2,,1,,DE LIMBURG,69110,SAINTE-FOY-LES-LYON,69202,,,"1 DE LIMBURG 69110 SAINTE-FOY-LES-LYON 69202
",cuisson de produits de boulangeri,"Fabrication de denrÃ©es alimentaires, de boissons et de produits Ã  base de tabac",4
80279775300026,801555.61,6552355.57,21,2154,CSZ,CSZ,CSZ,CSZ,CSZ,69066,,,,,,,46.063366254,"4.3137808644
",802797753,80279775300026,01,16.23Z,NAFRev2,PONT TRAMBOUZE,9,,RAMBERTON,69240,COURS,69066,,,"PONT TRAMBOUZE 9 RAMBERTON 69240 COURS 69066
",fabrication de charpentes et dâ€™autres menuiserie,"Travail du bois, industries du papier et imprimerie",2
80284394600020,843256.3,6520027.7,11,2154,CSZ,0401,CSZ,CSZ,CSZ,69386,,,1,,,,45.764806569,"4.8433152241
",802843946,80284394600020,12,10.71C,NAFRev2,,14,,VAUBAN,69006,LYON 6EME,69386,,,"14 VAUBAN 69006 LYON 6EME 69386
",boulangerie et boulangerie-pÃ¢tisseri,"Fabrication de denrÃ©es alimentaires, de boissons et de produits Ã  base de tabac",35
80284449800021,810550.76,6535517.83,11,2154,HZ,0102,CSZ,CSZ,CSZ,69243,,1,1,,,,45.910361227,"4.4261890775
",802844498,80284449800021,02,13.92Z,NAFRev2,ZAC DU CANTUBAS,17,,JOSEPH KESSEL,69170,TARARE,69243,,,"ZAC DU CANTUBAS 17 JOSEPH KESSEL 69170 TARARE 69243
","fabrication dâ€™articles textiles, sauf habillemen","Fabrication de textiles, industries de lâ€™habillement, industrie du cuir et de la chaussure",4
80285640100020,855522.25,6510715.47,21,2154,CSZ,0102,CSZ,CSZ,CSZ,69287,,,2,,,,45.678289572,"4.9980481943
",802856401,80285640100020,02,08.11Z,NAFRev2,,,,LD VERRIERE,69720,SAINT-BONNET-DE-MURE,69287,,,"LD VERRIERE 69720 SAINT-BONNET-DE-MURE 69287
","extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et dâ€™ardois",Industries extractives,4
80292134600010,795937.5,6505603.65,11,2154,CSZ,CSZ,CSZ,CSZ,CSZ,42149,,,,,,,45.643239988,"4.2316808089
",802921346,80292134600010,11,10.71C,NAFRev2,,98,,DES SOURCES,42210,MONTROND-LES-BAINS,42149,,,"98 DES SOURCES 42210 MONTROND-LES-BAINS 42149
",boulangerie et boulangerie-pÃ¢tisseri,"Fabrication de denrÃ©es alimentaires, de boissons et de produits Ã  base de tabac",15
80294743200059,842234.23,6518684.85,11,2154,CSZ,0402,CSZ,CSZ,CSZ,69382,,,1,,,,45.752931673,"4.8297683915
",802947432,80294743200059,00,38.11Z,NAFRev2,,18,,DES REMPARTS D'AINAY,69002,LYON 2EME,69382,,,"18 DES REMPARTS D'AINAY 69002 LYON 2EME 69382
",collecte des dÃ©chets non dangereu,"Production et distribution dâ€™Ã©lectricitÃ©, de gaz et dâ€™eau : gestion des dÃ©chets",0
80294743200075,842822.88,6515873.31,11,2154,HZ,0703,HZ,CSZ,HZ,69387,,1,1,1,,1,45.727497882,"4.8364972763
",802947432,80294743200075,11,38.11Z,NAFRev2,,24,B,JEAN BALDASSINI,69007,LYON 7EME,69387,,,"24 B B JEAN BALDASSINI 69007 LYON 7EME 69387
",collecte des dÃ©chets non dangereu,"Production et distribution dâ€™Ã©lectricitÃ©, de gaz et dâ€™eau : gestion des dÃ©chets",15
80297491500026,847852.72,6509796.26,11,2154,CSZ,0103,CSZ,CSZ,CSZ,69273,,,1,,,,45.671718937,"4.8992700818
",802974915,80297491500026,02,10.71B,NAFRev2,,46,,DU COSTEL,69960,CORBAS,69273,,,"46 DU COSTEL 69960 CORBAS 69273
",cuisson de produits de boulangeri,"Fabrication de denrÃ©es alimentaires, de boissons et de produits Ã  base de tabac",4
80301807600015,800785.9,6477535.2,11,2154,CSZ,0101,CSZ,CSZ,HZ,42095,,,1,,,1,45.389828141,"4.2880379562
",803018076,80301807600015,00,10.71C,NAFRev2,,50,,JEAN JAURES,42700,FIRMINY,42095,,,"50 JEAN JAURES 42700 FIRMINY 42095
",boulangerie et boulangerie-pÃ¢tisseri,"Fabrication de denrÃ©es alimentaires, de boissons et de produits Ã  base de tabac",0
80304610100041,844804.7,6520479.2,11,2154,CSZ,0701,CSZ,CSZ,CSZ,69386,,,1,,,,45.768543924,"4.8633685943
",803046101,80304610100041,00,35.13Z,NAFRev2,,29,,BELLECOMBE,69006,LYON 6EME,69386,,,"29 BELLECOMBE 69006 LYON 6EME 69386
",distribution dâ€™Ã©lectricitÃ,"Production et distribution dâ€™Ã©lectricitÃ©, de gaz et dâ€™eau : gestion des dÃ©chets",0
80308330200015,827167,6494017.5,11,2154,HZ,0101,HZ,CSZ,CSZ,42186,,1,1,1,,,45.533831755,"4.6294474833
",803083302,80308330200015,11,25.62B,NAFRev2,,17,,EMILE ZOLA,42800,RIVE-DE-GIER,42186,,,"17 EMILE ZOLA 42800 RIVE-DE-GIER 42186
",mÃ©canique industriell,MÃ©tallurgie et fabrication de produits mÃ©talliques Ã  lâ€™exception des machines et des Ã©quipements,15
80317170100011,838031.01,6509731.91,11,2154,HZ,0101,HZ,CSZ,HZ,69027,,1,1,1,,1,45.673196105,"4.7731288057
",803171701,80317170100011,01,33.12Z,NAFRev2,,31,,D IRIGNY,69530,BRIGNAIS,69027,,,"31 D IRIGNY 69530 BRIGNAIS 69027
",rÃ©paration de machines et Ã©quipements mÃ©canique,Autres industries manufacturiÃ¨res : rÃ©paration et installation de machines et dâ€™Ã©quipements,2
80321222400015,817850,6509850,12,2154,CSZ,CSZ,CSZ,CSZ,CSZ,69078,291.54759474,,,,,,45.678041521,"4.5139841656
",803212224,80321222400015,01,25.62B,NAFRev2,,,,LE FLECHET,69850,DUERNE,69078,,,"LE FLECHET 69850 DUERNE 69078
",mÃ©canique industriell,MÃ©tallurgie et fabrication de produits mÃ©talliques Ã  lâ€™exception des machines et des Ã©quipements,2
80327235000015,844753.7,6513764.4,11,2154,HZ,0302,HZ,HZ,CSZ,69199,,1,1,1,1,,45.708105637,"4.8606768376
",803272350,80327235000015,01,10.71C,NAFRev2,,53,,CARNOT,69190,SAINT-FONS,69199,,,"53 CARNOT 69190 SAINT-FONS 69199
",boulangerie et boulangerie-pÃ¢tisseri,"Fabrication de denrÃ©es alimentaires, de boissons et de produits Ã  base de tabac",2
80328625100019,831554.52,6509661.49,11,2154,CSZ,CSZ,CSZ,CSZ,CSZ,69176,,,,,,,45.673840903,"4.6899393089
",803286251,80328625100019,03,16.23Z,NAFRev2,,21,,DE LA CROIX BLANCHE,69510,SOUCIEU-EN-JARREST,69176,,,"21 DE LA CROIX BLANCHE 69510 SOUCIEU-EN-JARREST 69176
",fabrication de charpentes et dâ€™autres menuiserie,"Travail du bois, industries du papier et imprimerie",8
80335303600012,784955.23,6500201.35,11,2154,HZ,0201,CSZ,CSZ,CSZ,42147,,1,1,,,,45.596052275,"4.0897483548
",803353036,80335303600012,02,16.23Z,NAFRev2,ZONE ARTISANALE DES GRANGES,9,,DES ROSEAUX VERTS,42600,MONTBRISON,42147,,,"ZONE ARTISANALE DES GRANGES 9 DES ROSEAUX VERTS 42600 MONTBRISON 42147
",fabrication de charpentes et dâ€™autres menuiserie,"Travail du bois, industries du papier et imprimerie",4
80335703700024,833644.27,6557801.29,11,2154,HZ,0102,CSZ,CSZ,CSZ,69019,,1,1,,,,46.106825996,"4.7303246274
",803357037,80335703700024,01,28.99B,NAFRev2,,16,,DU BOIS BARON,69220,BELLEVILLE-EN-BEAUJOLAIS,69019,,,"16 DU BOIS BARON 69220 BELLEVILLE-EN-BEAUJOLAIS 69019
",fabrication dâ€™autres machines spÃ©cialisÃ©e,Fabrication de machines et Ã©quipements n.c.a.,2
80338436100017,841069.18,6525483.57,11,2154,CSZ,0101,CSZ,CSZ,CSZ,69191,,,1,,,,45.814379339,"4.8167979448
",803384361,80338436100017,00,10.71C,NAFRev2,,4,,GAMBETTA,69450,SAINT CYR AU MONT D'OR,69191,,,"4 GAMBETTA 69450 SAINT CYR AU MONT D'OR 69191
",boulangerie et boulangerie-pÃ¢tisseri,"Fabrication de denrÃ©es alimentaires, de boissons et de produits Ã  base de tabac",0
80341098400014,844758.6,6520948.3,11,2154,HZ,0301,HZ,HZ,CSZ,69266,,1,1,1,1,,45.772776736,"4.8629179809
",803410984,80341098400014,01,10.71C,NAFRev2,,31,,ANDRE PHILIP,69100,VILLEURBANNE,69266,,,"31 ANDRE PHILIP 69100 VILLEURBANNE 69266
",boulangerie et boulangerie-pÃ¢tisseri,"Fabrication de denrÃ©es alimentaires, de boissons et de produits Ã  base de tabac",2
80353658000035,828950,6516750,12,2154,CSZ,CSZ,CSZ,CSZ,CSZ,69255,158.11388301,,,,,,45.738154785,"4.6584039381
",803536580,80353658000035,03,10.71D,NAFRev2,,,,DE LA MAIRIE,69670,VAUGNERAY,69255,,,"DE LA MAIRIE 69670 VAUGNERAY 69255
",pÃ¢tisseri,"Fabrication de denrÃ©es alimentaires, de boissons et de produits Ã  base de tabac",8
80355901200023,834506.53,6543330.49,11,2154,HZ,CSZ,HZ,CSZ,CSZ,69115,,1,,1,,,45.976378661,"4.7373632817
",803559012,80355901200023,00,16.10B,NAFRev2,,174,,DE RIOTTIER,69400,LIMAS,69115,,,"174 DE RIOTTIER 69400 LIMAS 69115
",imprÃ©gnation du boi,"Travail du bois, industries du papier et imprimerie",0
